Date,Tmax,Tmin,Tavg
"1/1/19",60.000000,40.000000,59.000000
"2/1/19",41.000000,35.000000,35.500000
"3/1/19",45.000000,39.000000,44.500000
"4/1/19",47.000000,37.000000,44.500000
"5/1/19",47.000000,42.000000,40.500000
"6/1/19",49.000000,32.000000,39.000000
"7/1/19",35.000000,26.000000,35.500000
"8/1/19",47.000000,35.000000,40.500000
"9/1/19",46.000000,35.000000,39.000000
"10/1/19",35.000000,30.000000,27.000000
"11/1/19",32.000000,22.000000,27.500000
"12/1/19",34.000000,21.000000,29.000000
"13/1/19",33.000000,25.000000,28.500000
"14/1/19",35.000000,22.000000,30.000000
"15/1/19",36.000000,26.000000,35.500000
"16/1/19",40.000000,31.000000,35.500000
"17/1/19",34.000000,26.000000,35.500000
"18/1/19",42.000000,29.000000,35.500000
"19/1/19",39.000000,32.000000,35.500000
"20/1/19",40.000000,16.000000,10.500000
"21/1/19",16.000000,5.000000,22.500000
"22/1/19",31.000000,14.000000,38.500000
"23/1/19",47.000000,30.000000,47.500000
"24/1/19",57.000000,35.000000,48.000000
"25/1/19",40.000000,29.000000,21.500000
"26/1/19",35.000000,25.000000,35.500000
"27/1/19",49.000000,29.000000,31.500000
"28/1/19",39.000000,25.000000,34.500000
"29/1/19",44.000000,25.000000,21.500000
"30/1/19",36.000000,7.000000,10.000000
"31/1/19",17.000000,3.000000,17.000000
"1/2/19",22.000000,12.000000,26.500000
"2/2/19",35.000000,18.000000,23.000000
"3/2/19",52.000000,31.000000,49.000000
"4/2/19",59.000000,36.000000,42.000000
"5/2/19",65.000000,36.000000,40.500000
"6/2/19",46.000000,35.000000,39.000000
"7/2/19",44.000000,37.000000,39.000000
"8/2/19",55.000000,33.000000,36.000000
"9/2/19",33.000000,24.000000,30.000000
"10/2/19",36.000000,24.000000,35.500000
"11/2/19",37.000000,31.000000,30.000000
"12/2/19",35.000000,26.000000,35.500000
"13/2/19",42.000000,33.000000,40.500000
"14/2/19",46.000000,33.000000,43.500000
"15/2/19",56.000000,41.000000,49.000000
"16/2/19",46.000000,32.000000,31.500000
"17/2/19",37.000000,26.000000,39.500000
"18/2/19",42.000000,26.000000,30.000000
"19/2/19",36.000000,24.000000,35.500000
"20/2/19",32.000000,26.000000,28.500000
"21/2/19",52.000000,32.000000,44.500000
"22/2/19",43.000000,37.000000,35.500000
"23/2/19",39.000000,32.000000,35.500000
"24/2/19",47.000000,35.000000,40.500000
"25/2/19",43.000000,28.000000,35.500000
"26/2/19",37.000000,25.000000,35.500000
"27/2/19",29.000000,23.000000,31.000000
"28/2/19",36.000000,26.000000,35.500000
"1/3/19",36.000000,25.000000,35.500000
"2/3/19",41.000000,30.000000,35.500000
"3/3/19",43.000000,32.000000,40.500000
"4/3/19",39.000000,28.000000,26.500000
"5/3/19",32.000000,21.000000,23.000000
"6/3/19",27.000000,19.000000,26.000000
"7/3/19",33.000000,19.000000,31.000000
"8/3/19",38.000000,24.000000,35.500000
"9/3/19",47.000000,34.000000,39.000000
"10/3/19",44.000000,34.000000,31.500000
"11/3/19",53.000000,39.000000,48.000000
"12/3/19",43.000000,34.000000,47.500000
"13/3/19",46.000000,32.000000,31.500000
"14/3/19",57.000000,41.000000,36.500000
"15/3/19",72.000000,48.000000,48.000000
"16/3/19",59.000000,37.000000,47.000000
"17/3/19",45.000000,34.000000,43.500000
"18/3/19",46.000000,33.000000,43.500000
"19/3/19",49.000000,36.000000,43.500000
"20/3/19",51.000000,37.000000,36.000000
"21/3/19",45.000000,40.000000,43.500000
"22/3/19",49.000000,38.000000,54.000000
"23/3/19",48.000000,35.000000,49.000000
"24/3/19",60.000000,38.000000,36.500000
"25/3/19",58.000000,42.000000,59.000000
"26/3/19",48.000000,33.000000,39.000000
"27/3/19",44.000000,34.000000,31.500000
"28/3/19",51.000000,37.000000,36.000000
"29/3/19",59.000000,47.000000,55.500000
"30/3/19",65.000000,46.000000,58.000000
"31/3/19",60.000000,39.000000,39.500000
"1/4/19",46.000000,33.000000,43.500000
"2/4/19",50.000000,37.000000,54.000000
"3/4/19",67.000000,41.000000,56.500000
"4/4/19",59.000000,44.000000,58.000000
"5/4/19",45.000000,39.000000,44.500000
"6/4/19",66.000000,39.000000,49.000000
"7/4/19",63.000000,47.000000,42.500000
"8/4/19",79.000000,47.000000,46.500000
"9/4/19",50.000000,43.000000,41.000000
"10/4/19",58.000000,44.000000,46.000000
"11/4/19",52.000000,40.000000,48.000000
"12/4/19",66.000000,45.000000,58.000000
"13/4/19",75.000000,58.000000,68.500000
"14/4/19",70.000000,56.000000,46.500000
"15/4/19",62.000000,45.000000,54.000000
"16/4/19",64.000000,44.000000,56.500000
"17/4/19",61.000000,47.000000,56.500000
"18/4/19",63.000000,50.000000,64.500000
"19/4/19",76.000000,55.000000,58.500000
"20/4/19",63.000000,54.000000,55.500000
"21/4/19",64.000000,51.000000,54.500000
"22/4/19",60.000000,49.000000,64.500000
"23/4/19",75.000000,54.000000,61.000000
"24/4/19",68.000000,54.000000,56.500000
"25/4/19",63.000000,49.000000,55.500000
"26/4/19",61.000000,50.000000,58.000000
"27/4/19",57.000000,48.000000,49.000000
"28/4/19",52.000000,46.000000,36.500000
"29/4/19",59.000000,44.000000,58.000000
"30/4/19",57.000000,48.000000,49.000000
"1/5/19",55.000000,48.000000,58.000000
"2/5/19",71.000000,47.000000,61.000000
"3/5/19",52.000000,48.000000,59.000000
"4/5/19",68.000000,50.000000,61.000000
"5/5/19",54.000000,49.000000,58.000000
"6/5/19",67.000000,49.000000,61.000000
"7/5/19",65.000000,51.000000,61.000000
"8/5/19",68.000000,54.000000,56.500000
"9/5/19",61.000000,52.000000,64.500000
"10/5/19",73.000000,56.000000,61.000000
"11/5/19",70.000000,57.000000,51.500000
"12/5/19",59.000000,44.000000,58.000000
"13/5/19",50.000000,42.000000,48.000000
"14/5/19",52.000000,44.000000,47.000000
"15/5/19",69.000000,47.000000,61.000000
"16/5/19",73.000000,55.000000,70.500000
"17/5/19",78.000000,63.000000,74.000000
"18/5/19",75.000000,59.000000,68.000000
"19/5/19",76.000000,60.000000,61.000000
"20/5/19",89.000000,65.000000,72.000000
"21/5/19",71.000000,57.000000,70.500000
"22/5/19",76.000000,57.000000,68.500000
"23/5/19",75.000000,58.000000,68.500000
"24/5/19",74.000000,63.000000,73.000000
"25/5/19",70.000000,57.000000,51.500000
"26/5/19",89.000000,62.000000,73.000000
"27/5/19",81.000000,66.000000,66.500000
"28/5/19",71.000000,62.000000,68.500000
"29/5/19",68.000000,56.000000,62.000000
"30/5/19",68.000000,56.000000,62.000000
"31/5/19",81.000000,61.000000,70.500000
"1/6/19",80.000000,63.000000,73.000000
"2/6/19",83.000000,63.000000,71.500000
"3/6/19",72.000000,60.000000,65.000000
"4/6/19",73.000000,57.000000,74.000000
"5/6/19",82.000000,66.000000,72.500000
"6/6/19",83.000000,71.000000,72.000000
"7/6/19",81.000000,63.000000,71.500000
"8/6/19",80.000000,63.000000,73.000000
"9/6/19",78.000000,61.000000,64.500000
"10/6/19",70.000000,59.000000,61.000000
